Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2012-12-24,14.355438232421875,22.42136001586914,10.514776229858398,29.951021194458008,12.221888542175293,25.060190200805664,11.532805442810059,32.534446716308594,20.42574119567871
2012-12-26,14.444217681884766,22.321035385131836,10.514776229858398,29.848073959350586,12.154153823852539,24.84576416015625,11.434403419494629,32.42072677612305,20.2142391204834
2012-12-27,14.39404010772705,22.280284881591797,10.476241111755371,29.800548553466797,12.141451835632324,24.888652801513672,11.414724349975586,32.371978759765625,20.240137100219727
2012-12-28,14.212621688842773,21.89155387878418,10.392741203308105,29.475873947143555,12.005983352661133,24.62417221069336,11.299919128417969,32.0551643371582,20.076107025146484
2012-12-31,14.490537643432617,22.3900089263916,10.52762508392334,30.014379501342773,12.213422775268555,24.94582176208496,11.454084396362305,32.39634704589844,20.477542877197266
2013-01-02,14.85339069366455,22.885339736938477,10.835936546325684,30.73504638671875,12.619829177856445,25.589134216308594,11.66401195526123,33.03810119628906,20.904878616333008
2013-01-03,14.745305061340332,22.879064559936523,10.823089599609375,30.750871658325195,12.539392471313477,25.52479362487793,11.66401195526123,33.0787239074707,20.956668853759766
2013-01-04,14.926719665527344,23.133007049560547,10.951553344726562,30.980525970458984,12.488590240478516,25.59627342224121,11.723052024841309,33.22494888305664,21.034374237060547
2013-01-07,14.895844459533691,22.954301834106445,10.925863265991211,30.845911026000977,12.471659660339355,25.424726486206055,11.608245849609375,33.33053207397461,20.98257827758789
2013-01-08,14.919008255004883,22.879064559936523,10.893747329711914,30.60833168029785,12.425089836120605,25.353254318237305,11.572162628173828,33.338680267333984,20.92214584350586
2013-01-09,15.015506744384766,22.84144401550293,10.880898475646973,30.91718864440918,12.44626235961914,25.410429000854492,11.549202919006348,33.70421600341797,20.956668853759766
2013-01-10,15.081121444702148,23.048357009887695,11.015787124633789,31.067649841308594,12.509759902954102,25.560535430908203,11.598404884338379,33.9398078918457,21.077537536621094
2013-01-11,15.057964324951172,23.076570510864258,10.990092277526855,30.95677947998047,12.526695251464844,25.67489242553711,11.611528396606445,33.93166732788086,21.094802856445312
2013-01-14,15.061824798583984,23.079708099365234,10.957978248596191,31.075580596923828,12.44626235961914,25.753528594970703,11.588565826416016,33.96417999267578,21.1466007232666
